ID Code,Color 1,Color 2,Card Name,Stage,Level,Rarity,DP,Play Cost,DigiCost 1,DigiCost 2,Main Effect,Inherited Effect,Security,Attribute,Type,Url
BT1-014,Red,-,Kokatorimon,Champion (Lv4),4,Common,4000,3,2,-,-,-,-,Data,Giant Bird,
BT1-015,Red,-,Greymon,Champion (Lv4),4,Uncommon,4000,4,2,-,-,[Your Turn] This Digimon gets +2000 DP.,-,Vaccine,Dinosaur,
BT1-016,Red,-,Tyrannomon,Champion (Lv4),4,Rare,4000,4,2,-,?Jamming?,-,-,Data,Dinosaur,
BT1-017,Red,-,Birdramon,Champion (Lv4),4,Uncommon,4000,4,2,-,[On Play] 1 of your Digimon gains ?Security Attack +1? ,-,-,Vaccine,Giant Bird,
BT1-018,Red,-,Flarerizamon,Champion (Lv4),4,Common,4000,5,2,-,[Your Turn] While you have 3 or more memory? this Digimon gains ?Security Attack +1?.,-,-,Data,Fire Dragon,
BT1-019,Red,-,DarkTyrannomon,Champion (Lv4),4,Common,6000,6,1,-,-,-,-,Virus,Dinosaur,
BT1-020,Red,-,Groundmon,Ultimate (Lv5),5,Uncommon,6000,5,2,-,-,-,-,Virus,Earth Dragon,
BT1-020,Red,-,Groundramon,Ultimate (Lv5),5,Uncommon,6000,5,2,-,-,-,-,Virus,Earth Dragon,
BT1-021,Red,-,MetalGreymon,Ultimate (Lv5),5,Uncommon,7000,6,3,-,"[When Attacking] Gain 3 memory. At end of turn, lose 3 memory.",-,-,Vaccine,Cyborg,
BT1-022,Red,-,Garudamon,Ultimate (Lv5),5,Super Rare,7000,7,3,-,?Piercing?,"[Your Turn] When this Digimon is blocked, trigger ?Draw 1?",-,Vaccine,Birdkin,
BT1-023,Red,-,SkullGreymon,Ultimate (Lv5),5,Rare,7000,7,3,-,[On Play] Delete 1 of your opponent's Digimon with ?Blocker?,-,-,Virus,Undead,
BT1-024,Red,-,MetalTyrannomon,Ultimate (Lv5),5,Common,10000,7,3,-,-,-,-,Virus,Cyborg,
BT1-025,Red,-,WarGreymon,Mega (Lv6),6,Super Rare,11000,12,3,-,[When Digivolving] This Digimon gains ?Security Attack +1>  for the turn. [Your Turn] This Digimon doesn't activate [Security] skills on Option cards it checks.,-,-,Vaccine,Dragonkin,
BT1-026,Red,-,Breakdramon,Mega (Lv6),6,Uncommon,11000,12,3,-,?Piercing?,-,-,Virus,Machine Dragon,
BT1-027,Blue,-,Armadillomon,Rookie (Lv3),3,Common,4000,2,1,-,-,-,-,Free,Mammal,
BT1-028,Blue,-,Elecmon,Rookie (Lv3),3,Common,3000,2,0,-,-,-,-,Data,Mammal,
BT1-029,Blue,-,Gabumon,Rookie (Lv3),3,Rare,1000,3,0,-,[On Play] Trigger ?Draw 1?,-,-,Data,Reptile,
BT1-030,Blue,-,Gomamon,Rookie (Lv3),3,Common,3000,3,0,-,-,[On Deletion] Gain 1 memory.,-,Vaccine,Sea Beast,
BT1-031,Blue,-,Monmon,Rookie (Lv3),3,Common,1000,4,1,-,?Blocker?,-,-,Virus,Beast,
BT1-032,Blue,-,Frigimon,Champion (Lv4),4,Common,4000,4,1,-,?Jamming?,-,-,Vaccine,Ice-Snow,
BT1-033,Blue,-,Dolphmon,Champion (Lv4),4,Common,4000,4,2,-,-,[Your Turn] While your opponent has a Digimon with no digivolution cards in play? this Digimon gets +1000 DP.,-,Vaccine,Sea Animal,
BT1-034,Blue,-,Ikkakumon,Champion (Lv4),4,Rare,5000,5,2,-,-,[Your Turn] This Digimon can't be blocked by your opponent's Digimon with no digivolution cards.,-,Vaccine,Sea Beast,
BT1-035,Blue,-,Leomon,Champion (Lv4),4,Uncommon,5000,5,2,-,[On Deletion] Gain 2 memory.,-,-,Vaccine,Beastkin,
BT1-036,Blue,-,Garurumon,Champion (Lv4),4,Uncommon,5000,6,2,-,[On Play] Unsuspend 1 of your Digimon.,-,-,Vaccine,Beast,
BT1-037,Blue,-,Gorillamon,Champion (Lv4),4,Common,6000,6,1,-,-,-,-,Data,Beastkin,
BT1-038,Blue,-,Monzaemon,Ultimate (Lv5),5,Common,6000,5,2,-,-,-,-,Vaccine,Puppet,
BT1-039,Blue,-,Cerberusmon,Ultimate (Lv5),5,Rare,6000,6,3,-,[When Attacking][Twice Per Turn] You can unsuspend this Digimon by trashing 3 cards in your hand.,-,-,Vaccine,Dark Animal,
BT1-040,Blue,-,WereGarurumon,Ultimate (Lv5),5,Uncommon,7000,6,3,-,"[When Attacking] Gain 3 memory. At end of turn, lose 3 memory.",-,-,Vaccine,Beastkin,
BT1-041,Blue,-,Zudomon,Ultimate (Lv5),5,Super Rare,6000,7,3,-,[On Play] Trigger ?Draw 2?,[When Attacking] If your opponent has a Digimon with no digivolution cards in play? gain 1 memory.,-,Vaccine,Sea Beast,
BT1-042,Blue,-,LoaderLiomon,Ultimate (Lv5),5,Uncommon,10000,7,3,-,-,-,-,Vaccine,Machine,
BT1-043,Blue,-,SaberLeomon,Mega (Lv6),6,Uncommon,10000,11,3,-,[When Digivolving] Trash 4 digivolution cards under 1 of your opponent's Digimon.,-,-,Data,Ancient Animal,
BT1-044,Blue,-,MetalGarurumon,Mega (Lv6),6,Super Rare,11000,12,3,-,[When Attacking] Play 1 level 4 or lower digivolution card under this card as another Digimon without paying its memory cost,-,-,Data,Cyborg,
BT1-045,Yellow,-,Tsukaimon,Rookie (Lv3),3,Common,3000,2,0,-,-,-,-,Virus,Mammal,
BT1-046,Yellow,-,Kudamon,Rookie (Lv3),3,Common,1000,3,0,-,"[When Attacking] If you have 4 or less cards in your hand, trigger ?Draw 1?",-,-,Vaccine,Holy Beast,
BT1-047,Yellow,-,Tinkermon,Rookie (Lv3),3,Uncommon,3000,3,0,-,-,-,-,Virus,Fairy,
BT1-048,Yellow,-,Patamon,Rookie (Lv3),3,Rare,2000,3,0,-,[On Play] Reveal 4 cards from the top of your deck. Add all yellow Tamer cards among them to your hand. Place the remaining cards at the bottom of your deck in any order,-,-,Data,Mammal,
BT1-049,Yellow,-,Labramon,Rookie (Lv3),3,Uncommon,1000,3,0,-,-,"[Your Turn] When an opponent's Digimon is deleted by dropping to 0 DP, trigger ?Draw 1?",-,Vaccine,Beast,
BT1-050,Yellow,-,Liollmon,Rookie (Lv3),3,Common,4000,3,0,-,-,-,-,Vaccine,Holy Beast,
BT1-051,Yellow,-,Reppamon,Champion (Lv4),4,Common,4000,3,2,-,-,-,-,Vaccine,Holy Beast,
BT1-052,Yellow,-,Seasarmon,Champion (Lv4),4,Common,4000,4,2,-,?Jamming?,-,-,Vaccine,Holy Beast,
BT1-053,Yellow,-,Darcmon,Champion (Lv4),4,Uncommon,4000,4,2,-,"[Your Turn] When you play a level 3 yellow Digimon, if this Digimon is suspended, trigger ?Draw 1?",-,-,Vaccine,Angel,
BT1-054,Yellow,-,Liamon,Champion (Lv4),4,Common,4000,4,3,-,"[When Attacking] If you have 3 or more memory, 1 of your opponent's Digimon gets -2000 DP for the turn.",-,-,Vaccine,Holy Beast,
BT1-055,Yellow,-,Angemon,Champion (Lv4),4,Rare,3000,5,2,-,[On Play] 1 of your opponent's Digimon gets -3000 DP for the turn.,-,-,Vaccine,Angel,
BT1-056,Yellow,-,Petermon,Champion (Lv4),4,Uncommon,5000,5,2,-,[On Play] You may play 1 [Tinkermon] from your hand or recycle bin without paying its memory cost.,-,-,Data,Fairy,
BT1-057,Yellow,-,Sirenmon,Ultimate (Lv5),5,Uncommon,6000,5,2,-,-,-,-,Data,Shaman,
BT1-058,Yellow,-,Chirinmon,Ultimate (Lv5),5,Uncommon,7000,6,3,-,"[When Attacking] Gain 3 memory. At end of turn, lose 3 memory.",-,-,Vaccine,Holy Beast,
BT1-059,Yellow,-,Piximon,Ultimate (Lv5),5,Common,9000,6,3,-,-,-,-,Data,Fairy,
BT1-060,Yellow,-,MagnaAngemon,Ultimate (Lv5),5,Super Rare,6000,7,3,-,[On Play] Trigger ?Recovery +1 (Deck)?.,[Your Turn] This Digimon gets +1000 DP for every 3 security cards you have,-,Vaccine,Archangel,
BT1-061,Yellow,-,Mistymon,Ultimate (Lv5),5,Rare,7000,7,3,-,[On Play] 2 of your opponent's Digimon get -3000 DP for the turn.,-,-,Virus,Magic Warrior,
BT1-062,Yellow,-,SlashAngemon,Mega (Lv6),6,Uncommon,8000,11,3,-,[When Digivolving] 1 of your opponent's Digimon gets -8000 DP for the turn,-,-,Vaccine,Authority,
BT1-063,Yellow,-,Seraphimon,Mega (Lv6),6,Super Rare,10000,12,3,-,[When Digivolving] Trigger <Recovery +1 (Deck)>. [Your Turn] While you have 3 or more security cards? this Digimon gains ?Security Attack +1?.,-,-,Vaccine,Seraph/Three Great Angels,
BT1-064,Green,-,Goblimon,Rookie (Lv3),3,Common,3000,2,0,-,-,-,-,Virus,Demon,
BT1-065,Green,-,Mushroomon,Rookie (Lv3),3,Common,4000,2,1,-,-,-,-,Virus,Vegetation,
BT1-066,Green,-,Tentomon,Rookie (Lv3),3,Uncommon,2000,3,0,-,-,[When Attacking] Suspend 1 of your opponent's Digimon with 3000 DP or less,-,Vaccine,Insectoid,
BT1-067,Green,-,Palmon,Rookie (Lv3),3,Uncommon,1000,3,0,-,[On Play] Reveal 3 cards from the top of your deck. Add 1 level 4 Digimon card among them to your hand. Place the remaining cards at the bottom of your deck in any order,-,-,Data,Vegetation,
BT1-068,Green,-,Kokuwamon,Rookie (Lv3),3,Common,2000,4,1,-,-,[Your Turn] While this Digimon is level 6 or higher? it gains ?Security Attack +1?,-,Data,Machine,
BT1-069,Green,-,Orgemon,Champion (Lv4),4,Common,4000,4,2,-,?Jamming?,-,-,Virus,Demon,
BT1-070,Green,-,Kuwagamon,Champion (Lv4),4,Uncommon,4000,4,2,-,[On Play] Suspend 1 of your opponent's Digimon.,-,-,Virus,Insectoid,
BT1-071,Green,-,Vegiemon,Champion (Lv4),4,Common,6000,4,1,-,-,-,-,Virus,Carnivorous Plant,
BT1-072,Green,-,Woodmon,Champion (Lv4),4,Uncommon,6000,5,2,-,?Blocker?[When Attacking] Lose 2 memory,-,-,Virus,Vegetation,
BT1-073,Green,-,Kabuterimon,Champion (Lv4),4,Common,5000,6,1,-,-,[Your Turn] This Digimon gets +1000 DP for every suspended Digimon your opponent has,-,Vaccine,Insectoid,
BT1-074,Green,-,Togemon,Champion (Lv4),4,Rare,5000,6,2,-,[When Digivolving] Reveal 3 cards from the top of your deck. Add 1 level 5 or higher Digimon card among them to your hand. Place the remaining cards at the bottom of your deck in any order,-,-,Data,Vegetation,
BT1-075,Green,-,Digitamamon,Ultimate (Lv5),5,Common,7000,6,3,-,"[When Attacking] Gain 3 memory. At end of turn, lose 3 memory",-,-,Data,Perfect,
BT1-076,Green,-,MegaKabuterimon,Ultimate (Lv5),5,Uncommon,6000,7,2,-,-,"[When Attacking] If your opponent has 2 or more suspended Digimon, gain 1 memory",-,Vaccine,Insectoid,
BT1-077,Green,-,Okuwamon,Ultimate (Lv5),5,Common,6000,7,2,-,-,"[Your Turn] When this Digimon deletes an opponent's Digimon in battle and survives, gain 1 memory.",-,Virus,Insectoid,
BT1-078,Green,-,Jagamon,Ultimate (Lv5),5,Uncommon,7000,7,3,-,[When Attacking] Reveal 3 cards from the top of your deck. You can digivolve this card into 1 level 6 green Digimon card among them without paying its memory cost. Place the remaining cards at the bottom of your deck in any order.,-,-,Vaccine,Vegetation,
BT1-079,Green,-,Lillymon,Ultimate (Lv5),5,Rare,6000,7,2,-,-,[When Attacking] Suspend 1 of your opponent's Digimon without ?Blocker?,-,Data,Fairy,
BT1-080,Green,-,Titamon,Mega (Lv6),6,Uncommon,12000,10,2,-,-,-,-,Virus,Shaman,
BT1-081,Green,-,HerculesKabuterimon,Mega (Lv6),6,Super Rare,10000,12,3,-,?Piercing?[End of Attack][Twice Per Turn] You can unsuspend this Digimon by decreasing your memory by 3,-,-,Vaccine,Insectoid,
BT1-082,Green,-,Rosemon,Mega (Lv6),6,Super Rare,11000,12,3,-,"[Opponent's Turn] When an opponent's Digimon attacks a player, if this Digimon is suspended, suspend 1 of your opponent's Digimon.",-,-,Data,Fairy,
BT1-083,Green,-,GranKuwagamon,Mega (Lv6),6,Super Rare,11000,13,4,-,"?Piercing?(When this Digimon Attacks and deletes an oppenent's Digimon and survives the battle, it performs any security checks it normally would.) [Your Turn] This Digimon gets +4000 DP.",-,-,Free,Insectoid,
BT1-084,White,-,Omnimon,Mega (Lv7),7,Super Rare,15000,15,6(R)/6(B),-,[When Digivolving] Choose 1 of your opponent's Digimon. Delete all of your opponent's Digimon that share a name with it.[When Attacking] You can unsuspend this Digimon by returning 1 of this Digimon's level 6 digivolution cards to your hand.,-,-,Vaccine,Holy Warrior/Royal Knight,
BT1-085,Red,-,Tai Kamiya,Tamer,-,Rare,-,4,-,-,"[Start of Your Turn] If you have 2 or less memory, set your memory to 3.[Your Turn] All of your red Digimon with 4 or more digivolution cards gain ?Security Attack +1?",-,[Security] Play this card without paying its memory cost.,-,-,
BT1-086,Blue,-,Matt Ishida,Tamer,-,Rare,-,4,-,-,"[Start of Your Turn] If you have 2 or less memory? set your memory to 3.[Your Turn] When you play a blue Digimon, you can suspend this Tamer to trash the bottom digivolution card of 1 of your opponent's Digimon",-,[Security] Play this card without paying its memory cost.,-,-,
BT1-087,Yellow,-,T.K. Takaishi,Tamer,-,Rare,-,4,-,-,"[Start of Your Turn] If you have 2 or less memory, set your memory to 3.[On Play] Look at your security stack, then reveal 1 card in it and add it to your hand. If that card is yellow, trigger ?Recovery +1 (Deck)?. Then shuffle your security stack.",-,[Security] Play this card without paying its memory cost.,-,-,
BT1-088,Green,-,Izzy Izumi,Tamer,-,Rare,-,2,-,-,"[Main] If you have a level 5 or higher green Digimon in play, you can suspend this Tamer to reveal the top card of your deck. If that card is a Digimon card, add it to your hand. Otherwise place it at the bottom of your deck.",-,[Security] Play this card without paying its memory cost.,-,-,
BT1-089,Green,-,Mimi Tachikawa,Tamer,-,Rare,-,4,-,-,"[Main] If you have a level 5 or higher green Digimon in play, you can suspend this Tamer to reveal the top card of your deck. If that card is a Digimon card, add it to your hand. Otherwise place it at the bottom of your deck.",-,[Security] Play this card without paying its memory cost.,-,-,
BT1-090,Red,-,Gravity Crush,Option,-,Common,-,0,-,-,"Main] Gain 2 memory. At end of turn, lose 2 memory",-,-,-,-,
BT1-091,Red,-,Scrap Claw,Option,-,Rare,-,3,-,-,"[Main] 1 of your Digimon gains <Piercing>(When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would for this turn.",-,-,-,-,
BT1-092,Red,-,Nuclear Laser,Option,-,Common,-,3,-,-,[Main] Trigger ?Draw 2? (Draw 2 cards from your deck). Then 1 of your Digimon gets +2000 DP for the turn.,-,-,-,-,
BT1-093,Red,-,Great Tornado,Option,-,Common,-,3,-,-,[Main] 1 of your Digimon gets +2000 DP and ?Security Attack +1? for the turn.,-,[Security] Add this card to its owner's hand.,-,-,
BT1-094,Red,-,Oblivion Bird,Option,-,Common,-,5,-,-,[Main] Delete 1 of your opponent's Digimon with ?Blocker?,-,[Security] Activate this card's [Main] effect.,-,-,
BT1-095,Red,-,Brave Shield,Option,-,Rare,-,5,-,-,"[Main] Unsuspend 1 of your Digimon. Until the end of your opponent's next turn, that Digimon gains <Blocker>(When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).",-,"[Security] Unsuspend 1 of your Digimon. That Digimon gains <Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead) for this turn.",-,-,
BT1-096,Blue,-,Mad Dog Fire,Option,-,Rare,-,1,-,-,[Main] 1 of your Digimon gets +3000 DP for the turn.,-,[Security] Trigger ?Draw 1?. Then add this card to its owner's hand,-,-,
BT1-097,Blue,-,Boring Storm,Option,-,Common,-,1,-,-,[Main] Trigger ?Draw 1?,-,[Security] Trigger ?Draw 2?,-,-,
BT1-098,Blue,-,V-Nova Blast,Option,-,Common,-,2,-,-,[Main] 1 of your Digimon gains ?Jamming? for the turn,-,[Security] Add this card to its owner's hand.,-,-,
BT1-099,Blue,-,Hearts Attack,Option,-,Common,-,3,-,-,[Main] Trash all digivolution cards under 1 of your opponent's Digimon.,-,-,-,-,
BT1-100,Blue,-,Grace Cross Freezer,Option,-,Rare,-,4,-,-,"[Main] Until the end of your opponent's next turn, their Digimon with no digivolution cards can't attack.",-,[Security] Your opponent's Digimon with no digivolution cards can't attack for the turn. ,-,-,
BT1-101,Blue,-,Howling Crusher,Option,-,Common,-,7,-,-,[Main] Trash all digivolution cards under all of your opponent's Digimon.,-,[Security] Activate this card's [Main] effect.,-,-,
BT1-102,Yellow,-,Blade of the True,Option,-,Common,-,2,-,-,[Main] Trigger <Draw 1> for every 2 security cards you have.,-,[Security] Activate this card's [Main] effect.,-,-,
BT1-103,Yellow,-,Testament,Option,-,Rare,-,3,-,-,"[Main] 1 of your Digimon gains <Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead) until the end of your opponent's next turn.",-,"[Security] Trigger <Draw 1> (Draw 1 card from your deck). Then, add this card to your hand.",-,-,
BT1-104,Yellow,-,Golden Ripper,Option,-,Common,-,3,-,-,[Main] All of your Digimon gain the following effect for the turn: “[When Attacking] 1 of your opponent's Digimon gets -2000 DP for the turn.“,-,-,-,-,
BT1-105,Yellow,-,Blast Fire,Option,-,Common,-,4,-,-,[Main] Change the original DP of 1 of your opponent's Digimon to 3000 until the end of your opponent's next turn.,-,-,-,-,
BT1-106,Yellow,-,Symphony No. 1 <Polyphony>,Option,-,Rare,-,5,-,-,[Main] 1 of your opponent's Digimon gets -7000 DP for the turn.,-,-,-,-,
BT1-107,Yellow,-,Holy Wave,Option,-,Common,-,6,-,-,[Main] Trigger <Recovery +1 (Deck)>. (Place the top card of your deck on top of your security stack.),-,[Security] Activate this card's [Main] effect.,-,-,
BT1-108,Green,-,Horn Buster,Option,-,Common,-,1,-,-,[Main] 1 of your Digimon gets +3000 DP for the turn.,-,[Security] Suspend 1 of your opponent's Digimon. Then add this card its owner's hand.,-,-,
BT1-109,Green,-,Smashed Potatoes,Option,-,Common,-,2,-,-,"[Main] For the turn, the next time you would digivolve one of your green Digimon from level 5 to level 6, decrease the digivolution cost by 4.",-,-,-,-,
BT1-110,Green,-,Flower Cannon,Option,-,Rare,-,2,-,-,[Main] Suspend 1 of your opponent's Digimon.,-,[Security] Suspend all of your opponent's Digimon without ?Blocker?.,-,-,
BT1-111,Green,-,Giga Blaster,Option,-,Rare,-,3,-,-,[Main] Suspend 1 of your opponent's Digimon? or 2 of your opponent's Digimon with 5000 DP or less.,-,[Security] Activate this card's [Main] effect.,-,-,
BT1-112,Green,-,Dimension Scissor,Option,-,Common,-,3,-,-,"[Main] 1 of your Digimon gains the following effect for the turn: “When this Digimon deletes an opponent's Digimon in battle and survives, unsuspend it.“",-,[Security] Add this card to its owner's hand.,-,-,
BT1-113,Green,-,Forbidden Temptation,Option,-,Common,-,4,-,-,"[Main] Until the end of your opponent's next turn, 1 of your opponent's Digimon can't attack or block.",-,[Security] Your opponent's Digimon don't unsuspend during their next unsuspend phase.,-,-,
BT1-114,Red,-,MetalGreymon,Ultimate (Lv5),5,Secret Rare,9000,8,3,-,?Security Attack +2? [When Attacking] Lose 5 memory.,[Your Turn] This Digimon gets +3000 DP.,-,Virus,Cyborg,
BT1-115,Blue,-,Veedramon,Champion (Lv4),4,Secret Rare,6000,6,3,-,"[When Attacking][Once Per Turn] If you have a Tamer in play, unsuspend this Digimon.","[All Turns] While you have a blue Tamer in play, this Digimon gets +1000 DP.",-,Vaccine,Mythical Dragon,
BT2-001,Red,-,Gigimon,In-Training (Lv2),2,Uncommon,-,-,-,-,-,"[Your Turn] While there are 5 or more cards in your opponent's trash, this Digimon gets +1000 DP.",-,-,Lesser,
BT2-002,Blue,-,DemiVeemon,In-Training (Lv2),2,Uncommon,-,-,-,-,-,"[Your Turn] [Once Per Turn] When this Digimon becomes unsuspended during your main phase, it gets +1000 DP for the turn.",-,-,Baby Dragon,
BT2-003,Yellow,-,Nyaromon,In-Training (Lv2),2,Uncommon,-,-,-,-,-,"[Opponent's Turn] While this Digimon is suspended, all of your Security Digimon get +1000 DP.",-,-,Lesser,
BT2-004,Green,-,Argomon,In-Training (Lv2),2,Uncommon,-,-,-,-,-,"[Your Turn] When this Digimon becomes unsuspended during your unsuspend phase, gain 1 memory.",-,-,Mutant,
BT2-005,Black,-,Kapurimon,In-Training (Lv2),2,Common,-,-,-,-,-,,-,-,Lesser,
BT2-006,Black,-,Tsunemon,In-Training (Lv2),2,Rare,-,-,-,-,-,,-,-,Unidentifeid,
BT2-007,Purple,-,Pagumon,In-Training (Lv2),2,Common,-,-,-,-,-,,-,-,Lesser,
BT2-008,Purple,-,Yaamon,In-Training (Lv2),2,Rare,-,-,-,-,-,,-,-,Lesser,
BT2-009,Red,-,Guilmon,Rookie (Lv3),3,Common,3000,3,0,-,-,"[Your Turn] While there are 5 or more cards in your opponent's trash, this Digimon gets +1000 DP.",-,Virus,Reptile,
BT2-010,Red,-,Biyomon,Rookie (Lv3),3,Common,2000,3,0,-,"[On Deletion] If it's your turn, gain 1 memory.",-,-,Vaccine,Bird,
BT2-011,Red,-,Vorvomon,Rookie (Lv3),3,Common,5000,4,0,-,-,-,-,Virus,Rock Dragon,
BT2-012,Red,-,Birdramon,Champion (Lv4),4,Uncommon,3000,4,2,-,"[When Attacking] When this Digimon attacks a player, it gets +4000 DP for the turn",-,-,Vaccine,Giant Bird,
BT2-013,Red,-,Growlmon,Champion (Lv4),4,Uncommon,4000,5,1,-,-,[When Attacking] Delete 1 of your opponent's Digimon with 2000 DP or less.,-,Virus,Dark Dragon,
BT2-014,Red,-,Lavorvomon,Champion (Lv4),4,Common,6000,5,2,-,-,-,-,Virus,Rock Dragon,
BT2-015,Red,-,Garudamon,Ultimate (Lv5),5,Common,7000,6,3,-,"[When Attacking] When this Digimon attacks a player, trigger <Draw 1>. (Draw 1 card from your deck.)",-,-,Vaccine,Birdkin,
BT2-016,Red,-,Lavogaritamon,Ultimate (Lv5),5,Common,8000,7,2,-,-,-,-,Virus,Rock Dragon,
BT2-017,Red,-,WarGrowlmon,Ultimate (Lv5),5,Rare,8000,8,3,-,"[When Digivolving] If you have a red Tamer in play, delete 1 of your opponent's Digimon with 3000 DP or less.","[Your Turn] While there are 5 or more cards in your opponent's trash, this Digimon gets +1000 DP.",-,Virus,Cyborg,
BT2-018,Red,-,VolcanicDramon,Mega (Lv6),6,Uncommon,10000,11,3,-,?Security Attack +1?[On Play] Delete all of your opponent's Digimon with 4000 DP or less.,-,-,Virus,Earth Dragon,
BT2-019,Red,-,Phoenixmon,Mega (Lv6),6,Rare,11000,11,3,-,"[When Attacking] When this Digimon attacks a player, gain 1 memory.",-,-,Vaccine,Holy Beast,
BT2-020,Red,-,Gallantmon,Mega (Lv6),6,Super Rare,11000,12,4,-,"[When Digivolving] If you have a red Tamer in play, delete 1 of your opponent's Digimon with 6000 DP or less.[When Attacking] Trash 1 of your opponent's security cards for every 10 cards in their trash.",-,-,Virus,Holy Warrior/Royal Knight,
BT2-021,Blue,-,Veemon,Rookie (Lv3),3,Common,2000,3,0,-,-,"[Your Turn][Once Per Turn] When this Digimon becomes unsuspended during your main phase, trigger <Draw 1>. (Draw 1 card from your deck)",-,Free,Mini Dragon,
BT2-022,Blue,-,Betamon,Rookie (Lv3),3,Common,5000,3,1,-,-,-,-,Virus,Amphibian,
BT2-023,Blue,-,Gomamon,Rookie (Lv3),3,Common,2000,4,0,-,"When playing this card from your hand, reduce its memory cost by 1 for each of your opponent's Digimon with no digivolution cards.",-,-,Vaccine,Sea Beast,
BT2-024,Blue,-,Seadramon,Champion (Lv4),4,Common,4000,3,2,-,-,-,-,Data,Sea Animal,
BT2-025,Blue,-,Ikkakumon,Champion (Lv4),4,Common,3000,5,2,-,-,[When Attacking] Trash the top digivolution card of 1 of your opponent's Digimon.,-,Vaccine,Sea Beast,
BT2-026,Blue,-,Veedramon,Champion (Lv4),4,Uncommon,5000,5,2,-,"[Your Turn] While you have a blue Tamer in play, this Digimon gains <Jamming>. (This Digimon can't be deleted in battles against Security Digimon.)",-,-,Vaccine,Mythical Dragon,
BT2-027,Blue,-,Zudomon,Ultimate (Lv5),5,Uncommon,9000,6,3,-,-,-,-,Vaccine,Sea Beast,
BT2-028,Blue,-,AeroVeedramon,Ultimate (Lv5),5,Rare,7000,8,3,-,"[When Digivolving] If you have a blue Tamer in play, unsuspend 1 of your blue Digimon.","[Your Turn] When this Digimon becomes unsuspended during your main phase, it gains <Jamming> (This Digimon can't be deleted in battles against Security Digimon) for the turn.",-,Vaccine,Holy Dragon,
BT2-029,Blue,-,MegaSeadramon,Ultimate (Lv5),5,Common,8000,8,3,-,-,-,-,Data,Sea Animal,
BT2-030,Blue,-,MetalSeadramon,Mega (Lv6),6,Rare,10000,11,3,-,[On Play] Return up to 2 of your opponent's level 4 or lower Digimon to their hand. (Trash all of the digivolution cards of those Digimon.)[Your Turn] This Digimon can't be blocked by your opponent's Digimon with no digivolution cards.,-,-,Data,Cyborg,
